"STATION","NAME","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00252065","CULBERTSON, NE US","1932","629.1","629.1","        55","        42","        0","         7","        22","       162","        25","       187","        67","-30.0","0","127.0","32.5","40.6","-3.9","-3.9","-5.6","-7.8","-10.0","-1.1","-2.8","-5.6","-7.2","-10.0","3085.7","3085.7","385.0","370.0","10.8","19.5","2.2"
"USC00252065","CULBERTSON, NE US","1933","737.5","737.5","        57","        44","        0","         7","         5","       152","         8","       180","        77","-33.9","0","203.0","58.4","42.2","0.0","-3.3","-6.7","-6.7","-9.4","-3.3","-3.3","-7.2","-7.2","-9.4","3170.8","3170.8","558.5","616.0","12.4","20.9","3.9"
"USC00252065","CULBERTSON, NE US","1934","873.1","873.1","        50","        38","        0","         9","         0","       152","        11","       200","        81","-15.6","0","152.0","47.0","44.4","-2.2","-2.2","-4.4","-7.8","-12.8","-1.1","-4.4","-4.4","-7.8","-11.1","2433.5","2433.5","436.7","635.0","13.3","21.6","4.9"
"USC00252065","CULBERTSON, NE US","1935","655.4","655.4","        53","        43","        0","         4","         5","       153","        13","       158","        66","-26.1","0","203.0","44.5","40.0","-0.6","-2.2","-5.6","-7.2","-10.0","-1.7","-5.6","-5.6","-6.7","-15.0","2875.8","2875.8","547.6","533.0","11.4","18.9","3.9"
"USC00252065","CULBERTSON, NE US","1936","968.0","968.0","        40","        31","        0","         7","        21","       167","        32","       183","        92","-30.6","0","102.0","44.5","45.0","-0.6","-2.2","-11.1","-11.1","-11.1","-1.1","-5.0","-5.0","-10.0","-10.0","3415.4","3415.4","304.6","535.0","11.7","20.4","3.0"
"USC00252065","CULBERTSON, NE US","1937","841.6","841.6","        62","        32","        0","        10","        24","       160","        39","       165","        76","-28.9","0","152.0","37.3","44.4","0.0","-2.2","-6.7","-6.7","-11.7","-4.4","-4.4","-4.4","-6.7","-10.0","3435.7","3435.7","362.4","536.0","10.9","18.6","3.2"
"USC00252065","CULBERTSON, NE US","1938","765.0","765.0","        70","        40","        0","         4","        10","       154","        13","       186","        84","-24.4","0","102.0","51.8","44.4","-3.9","-3.9","-10.0","-10.0","-10.0","-1.7","-3.3","-6.7","-6.7","-9.4","3059.0","3059.0","588.5","239.0","12.0","20.9","3.1"
"USC00252065","CULBERTSON, NE US","1939","737.0","737.0","        55","        30","        1","        10","         9","       173","        17","       194","        88","-25.0","76","122.0","61.7","45.0","-1.1","-2.8","-7.8","-7.8","-10.6","-3.3","-3.3","-5.6","-6.7","-9.4","3037.9","3037.9","316.9","771.0","11.7","21.1","2.2"
"USC00252065","CULBERTSON, NE US","1940","691.9","691.9","        73","        35","        0","        15","        20","       159","        44","       181","        74","-28.9","0","102.0","49.5","45.0","-3.3","-3.3","-6.1","-16.1","-16.1","-0.6","-4.4","-4.4","-10.6","-10.6","3248.9","3248.9","381.3","756.0","10.7","18.8","2.5"
"USC00252065","CULBERTSON, NE US","1941","633.7","633.7","        94","        56","        0","        12","         5","       155","        31","       160","        60","-26.1","0","305.0","69.6","40.0","0.0","-2.8","-6.1","-7.8","-10.0","0.0","-2.8","-6.7","-6.7","-8.9","3133.0","3133.0","702.5","1103.0","11.0","18.4","3.6"
